id.S	__typename.S	countOutside.N	createdAt.S	distance.N	distance_left_button_point.N	distance_questionary_point.N	distance_right_button_point.N	dt.N	element.S	epoch.N	height.N	isMouseDetected.BOOL	isPositionOutside.BOOL	isTouchDetected.BOOL	questionID.S	questionaryInteractionID.S	speed.N	speedAverage.N	sumDistance.N	sumTimeMiliseconds.N	sumTimeMilisecondsBeforeNextQuestion.N	type.S	updatedAt.S	width.N	x.N	y.N
f79c00a5-770b-4d2c-ac90-668c9191d7a2	Interaction	0	2020-12-10T13:41:20.113Z	0	203.94361965994426	211.74040710265956	340.57745080965066	0	questionary	1607607671362	561.796875	False	False	True	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0	0	0	0	position	2020-12-10T13:41:20.113Z	400	147	505
d140ffb1-9b1e-43fc-b685-35817e2a4d89	Interaction	0	2020-12-10T13:41:21.124Z	0	211.0781845667619	531.5947704784162	346.63237009835075	3	questionary	1607607679175	0	False	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0.00017242520527607145	8.06225774829855	7810	7793	position	2020-12-10T13:41:21.124Z	0	143	512
a3659018-8885-4821-aa20-87de8a0f620d	Interaction	0	2020-12-10T13:41:11.687Z	0	203.94361965994426	211.74040710265956	340.57745080965066	5	questionary	1607607671372	561.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0	0	5	5	position	2020-12-10T13:41:11.687Z	400	147	505
90d3993f-d7f6-485e-b381-a6c4723b58e2	Interaction	0	2020-12-10T13:41:19.628Z	0	211.0781845667619	219.52904135899652	346.63237009835075	5	questionary	1607607679180	561.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0.00014779303309377554	8.06225774829855	7813	7796	position	2020-12-10T13:41:19.628Z	400	143	512
fa80bcca-34cb-477d-aab2-a54b53b01e8b	Interaction	0	2020-12-10T13:41:20.282Z	10.816653826391969	124.00403219250575	251.0019920239678	195.38935487891862	6	questionary	1607607680008	561.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	1.8027756377319948	0.01901871196438434	190.95020158276785	8640	810	position	2020-12-10T13:41:20.282Z	400	319	521
3fe3ec88-3d2c-4cb9-88e6-04113bfd77d5	Interaction	0	2020-12-10T13:41:19.593Z	0	203.94361965994426	211.74040710265956	340.57745080965066	3	questionary	1607607671379	561.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0	0	14	14	position	2020-12-10T13:41:19.593Z	400	147	505
0faea319-fdaf-4f91-8735-e31191b8313b	Interaction	0	2020-12-10T13:41:21.168Z	213.9369065869655	257.9379770409933	258.68320393871727	391.44859177163994	959	questionary	1607607680976	585.796875	False	False	True	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0.22308332282269605	0.1354000120869738	201.7668554091598	8655	0	position	2020-12-10T13:41:21.168Z	400	106	541
64091c1b-f4ec-4592-a8d2-cf05af9150a1	Interaction	0	2020-12-10T13:41:20.271Z	0	133.09395177843356	621.7113478134366	196.7587355112855	5	questionary	1607607680002	0	False	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0.02074768577932837	190.95020158276785	8635	805	position	2020-12-10T13:41:20.271Z	0	325	530
81690d38-f7dc-4225-857f-cb3626416b86	Interaction	0	2020-12-10T13:41:21.296Z	0	203.94361965994426	211.74040710265956	340.57745080965066	4	questionary	1607607671376	561.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0	0	10	10	position	2020-12-10T13:41:21.296Z	400	147	505
51442e72-a383-41b3-9a3f-edb9427269c3	Interaction	0	2020-12-10T13:41:20.133Z	0	203.94361965994426	211.74040710265956	340.57745080965066	3	questionary	1607607671379	561.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0	0	14	14	position	2020-12-10T13:41:20.133Z	400	147	505
6defa8ce-96c6-4c20-b365-40c1401db27e	Interaction	0	2020-12-10T13:41:21.300Z	0	203.94361965994426	211.74040710265956	340.57745080965066	3	questionary	1607607671379	561.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0	0	14	14	position	2020-12-10T13:41:21.300Z	400	147	505
5b555657-dd21-4519-b483-c0ebbc0c49b7	Interaction	0	2020-12-10T13:41:21.139Z	10.816653826391969	124.00403219250575	251.0019920239678	195.38935487891862	6	questionary	1607607680008	561.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	1.8027756377319948	0.01901871196438434	190.95020158276785	8640	810	position	2020-12-10T13:41:21.139Z	400	319	521
a7b76a62-8dcb-4a4a-ac2f-b2cb129bd020	Interaction	0	2020-12-10T13:41:19.591Z	0	203.94361965994426	211.74040710265956	340.57745080965066	0	questionary	1607607671362	561.796875	False	False	True	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0	0	0	0	position	2020-12-10T13:41:19.591Z	400	147	505
8560121e-a1ed-44dd-80a3-a85ad713c182	Interaction	0	2020-12-10T13:41:21.335Z	0	211.0781845667619	219.52904135899652	346.63237009835075	5	questionary	1607607679180	561.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0.00014779303309377554	8.06225774829855	7813	7796	position	2020-12-10T13:41:21.335Z	400	143	512
a9bd59af-ada0-4b3a-91f6-3abc4ea4c1eb	Interaction	0	2020-12-10T13:41:22.189Z	8.06225774829855	211.0781845667619	219.52904135899652	346.63237009835075	7793	questionary	1607607679172	561.796875	False	False	True	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0.0010345512316564287	0	0	17	0	position	2020-12-10T13:41:22.189Z	400	143	512
d4a97240-9561-41a6-b2fb-c4ff526990ee	Interaction	0	2020-12-10T13:41:20.267Z	8.06225774829855	211.0781845667619	219.52904135899652	346.63237009835075	7793	questionary	1607607679172	561.796875	False	False	True	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0.0010345512316564287	0	0	17	0	position	2020-12-10T13:41:20.267Z	400	143	512
3e10d4b3-d2e0-44ea-a9a0-4a334b3cc403	Interaction	0	2020-12-10T13:41:11.676Z	0	203.94361965994426	211.74040710265956	340.57745080965066	4	questionary	1607607671376	561.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0	0	10	10	position	2020-12-10T13:41:11.676Z	400	147	505
7625c4d0-d48d-4ef0-876e-39c483d76c8d	Interaction	0	2020-12-10T13:41:21.335Z	0	211.0781845667619	219.52904135899652	346.63237009835075	9	questionary	1607607679189	561.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0.0001293189039570536	8.06225774829855	7818	7801	position	2020-12-10T13:41:21.335Z	400	143	512
46d4d629-d735-4fd3-b507-fe89e1dc4da5	Interaction	0	2020-12-10T13:41:11.679Z	0	203.94361965994426	525.9600745303773	340.57745080965066	5	questionary	1607607671367	0	False	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0	0	0	0	position	2020-12-10T13:41:11.679Z	0	147	505
1fc9dae5-1228-4aa1-a3a4-1190f06e3deb	Interaction	0	2020-12-10T13:41:11.684Z	0	203.94361965994426	211.74040710265956	340.57745080965066	0	questionary	1607607671362	561.796875	False	False	True	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0	0	0	0	position	2020-12-10T13:41:11.684Z	400	147	505
071eb7b7-2dda-4c1d-9441-769866443e0f	Interaction	0	2020-12-10T13:41:22.142Z	0	111.94641575325224	219.69296757065302	214.0840956259946	3	questionary	1607607681985	561.796875	False	False	True	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0.10606220622209629	597.7147506753806	10620	991	position	2020-12-10T13:41:22.142Z	400	284	503
1fb19ece-878c-4292-aa88-d7d5cd1d6850	Interaction	0	2020-12-10T13:41:22.140Z	0	211.0781845667619	219.52904135899652	346.63237009835075	3	questionary	1607607679192	561.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0.0001149501368507143	8.06225774829855	7827	7810	position	2020-12-10T13:41:22.140Z	400	143	512
cf7744ed-8c92-461d-a135-9038c82dda71	Interaction	0	2020-12-10T13:41:22.138Z	0	124.00403219250575	251.0019920239678	195.38935487891862	7	questionary	1607607680017	561.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0.14507144152175763	201.7668554091598	8648	818	position	2020-12-10T13:41:22.138Z	400	319	521
485a1e65-a807-4a3a-a66d-68c179a3cfa3	Interaction	0	2020-12-10T13:41:22.142Z	0	211.0781845667619	531.5947704784162	346.63237009835075	3	questionary	1607607679175	0	False	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0.00017242520527607145	8.06225774829855	7810	7793	position	2020-12-10T13:41:22.142Z	0	143	512
03dc8cc9-278b-4f7b-a04f-1fca2c0841fe	Interaction	0	2020-12-10T13:41:19.601Z	0	211.0781845667619	219.52904135899652	346.63237009835075	3	questionary	1607607679192	561.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0.0001149501368507143	8.06225774829855	7827	7810	position	2020-12-10T13:41:19.601Z	400	143	512
c21c3488-3a39-4364-ae68-6bb020daf974	Interaction	0	2020-12-10T13:41:19.571Z	0	203.94361965994426	525.9600745303773	340.57745080965066	5	questionary	1607607671367	0	False	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0	0	0	0	position	2020-12-10T13:41:19.571Z	0	147	505
